feature,mean_abs_shap
is_franchise,0.18156044
log_budget,0.10000492
runtime,0.08499358
release_year,0.047588065
n_rookie_cast,0.047002602
cast_size,0.03887278
star_power,0.025634332
studio_other,0.022611236
genre_Action,0.018111734
genre_Romance,0.016746981
frac_rookie_cast,0.013729801
genre_Comedy,0.013297229
director_star_power,0.011745578
release_window_awards,0.011618415
top3_star_power,0.0103003085
genre_Drama,0.009176654
genre_Family,0.007919193
director_prior_film_count,0.007446434
n_same_genre_competitors_2wk,0.006809185
release_window_summer,0.006582732
genre_Science Fiction,0.0053952197
top1_actor_score,0.005308592
genre_Animation,0.005098604
n_competitors_1wk,0.004878949
n_competitors_2wk,0.0045245974
genre_Documentary,0.004430099
genre_War,0.0038777336
release_window_holiday,0.0033476711
genre_Horror,0.0026043633
release_window_dump,0.002449524
genre_History,0.002175845
studio_Universal Pictures,0.002153103
genre_Adventure,0.002133931
genre_Western,0.0020083466
release_window_spring,0.0016498726
studio_Fox Searchlight Pictures,0.0014756011
genre_Fantasy,0.0012832253
genre_Crime,0.0012145025
release_window_late_summer,0.0011914375
genre_Thriller,0.00113501
genre_Mystery,0.001061767
studio_Metro-Goldwyn-Mayer,0.0008587113
studio_Walt Disney Productions,0.000828945
studio_Touchstone Pictures,0.00073928613
studio_Paramount,0.0007021067
studio_New Line Cinema,0.0004868132
studio_Walt Disney Pictures,0.0004729507
studio_Columbia Pictures,0.00038685132
is_rookie_director,0.0003673556
studio_Miramax,0.00028742617
genre_Music,0.0002747602
studio_United Artists,0.00022456473
studio_Morgan Creek,0.0002001917
studio_20th Century Fox,0.000121693025
studio_Orion Pictures,1.0236968e-05
studio_Warner Bros. Pictures,1.0063811e-05
studio_Village Roadshow Pictures,0.0
studio_Dimension Films,0.0
actor_star_power,0.0
studio_RKO Radio Pictures,0.0
studio_TriStar Pictures,0.0
studio_nan,0.0
runtime_imputed,0.0
